Year,DoY,season,daily_NEE,daily_GPP,daily_Reco,MaxT,MinT,Radn,rainfall,TairMean,pdi,mean_SoilC,grazeYN
2022,69,Winter,0.3794213073,-0.506956078,0.8863812593,10,-5.6,16.7,1,1.172222222,0.86,-0.281145483,N
2022,70,Winter,0.9275108989999999,-0.314651099,1.2421613345,6.7,-3.3,13.76,0,2.423263889,0.86,0.525874083,N
2022,71,Winter,0.7082811979,-0.6649748708,1.3732542401,5.6,-4.4,1.72,14.7,0.236805556,0.82,1.195471696,N
2022,72,Winter,0.6329138348,-0.6186943292,1.2516131561000001,0,-6.1,17.46,0.3,-3.419444444,0.82,0.957287088,N
2022,73,Winter,1.203115161,-1.1160857016,2.3192079487,7.2,-5,16,0,1.475,0.82,-0.511068733,N
2022,74,Winter,0.4708348167,-2.39618062,2.8670027631,8.3,-1.7,6.83,0,4.941319445,0.82,0.256016033,N
2022,75,Winter,1.1240351864,-1.3537693272,2.4778007047,7.2,1.1,14.29,9.7,4.107291667,0.82,2.194768525,N
2022,76,Winter,1.0629014396,-1.4111251818,2.4740291311,9.4,3.3,10.24,0,5.941666667,0.82,2.462978604,N
2022,77,Winter,1.6562409944,-1.3976676462,3.0539117458,18.3,1.1,15.27,0,11.67951389,0.82,4.298212946,N
2022,78,Winter,1.2825819936,-0.7078053489,1.990381488,10,4.4,1.81,18.5,6.825694445,0.57,6.156662242,N
2022,79,Spring,0.8309521271,-1.0005649404,1.8315188962,8.9,1.7,11.74,1.5,8.611875,0.57,4.500559742,N
2022,80,Spring,0.6952882789,-0.6189654382,1.3142494502,11.1,2.2,18.66,1,7.471875,0.57,5.736720021,N
2022,81,Spring,0.9677904618000001,0.2633558219,0.7044364714,5.6,-1.1,19.75,0,2.976388889,0.57,4.583751942,N
2022,82,Spring,0.951994296,0.1725447377,0.7794521306,9.4,-2.2,17.95,0,2.803472222,0.57,2.173369346,N
2022,83,Spring,1.2981063888,0.293547032,1.0045597292,4.4,1.7,2.86,5.6,3.822569444,0.57,2.812029775,N
2022,84,Spring,0.9868288317999999,-0.5345793941,1.521402747,10.6,1.1,14.18,10.2,7.357291667,0.57,2.591475421,N
2022,85,Spring,1.3967621844,-0.3592469097,1.756028816,11.7,1.7,12.81,0,7.272222222,1.39,4.694512938,N
2022,86,Spring,0.5039508582,-1.2347540734,1.7386963876,11.7,-1.1,13.26,0,4.299305556,1.39,4.889827988,N
2022,87,Spring,1.2195170782,0.1631033908,1.0564095417,-0.6,-7.8,14.97,0,-4.920833333,1.39,3.970574963,N
2022,88,Spring,1.6635224014,0.021300681000000002,1.642218584,1.7,-8.3,21.15,0,-2.880902778,1.39,0.205823513,N
2022,89,Spring,1.7534712816,-1.2774805096,3.0309580471,9.4,-5,20.31,0,2.655208333,1.39,-0.352545171,N
2022,90,Spring,2.1477949579,-1.9795722452,4.1273811741,10.6,3.3,3.98,2,7.942708333,1.39,1.101513167,N
2022,91,Spring,1.9134531448,-2.3831807034,4.2966728357,12.8,3.3,6.9,12.7,9.302083334,1.39,5.956749213,N
2022,92,Spring,0.8979512511,-2.0229586702,2.9208978536,10,0,21.83,0,4.287847222,0.53,5.714725738,N
2022,93,Spring,0.4697576604,-2.0316825642,2.5014479177,7.2,-2.8,13.17,0,3.250347222,0.53,3.938560746,N
2022,94,Spring,1.27704808556,-1.5786742888,2.8557215948,12.2,1.7,21.68,0,6.619791667,0.53,3.039603167,N
2022,95,Spring,1.1361357892,-1.4529968683,2.5891461352,13.9,0,21,0,7.064236111,0.53,5.008456163,N
2022,96,Spring,0.849861007,-1.1529914079999999,2.0028480875,10,0,8.9,0,5.859375,0.53,5.800617467,N
